,property name,property street,property city,property state,property zipcode,Studio,1 Bedroom,2 Bedrooms,3 Bedrooms,Latitude,Longitude,URL
1,Chestnut Hill Village,7715 Crittenden St,Philadelphia,PA,19118,NA,"$1,227 – 1,699","$1,629 – 2,368","$2,039 – 2,054",40.07447,-75.19484,https://www.apartments.com/chestnut-hill-village-philadelphia-pa/4sbjxeh/
2,Hanover North Broad,322-344 N Broad St,Philadelphia,PA,19102,"$1,582 – 2,005","$1,701 – 2,742","$2,360 – 3,952","$3,781 – 3,816",39.95934,-75.16261,https://www.apartments.com/hanover-north-broad-philadelphia-pa/540bw8m/
3,Fallsview Gardens,3026 W Queen Ln,Philadelphia,PA,19129,NA,NA,"$1,250 – 1,550",NA,40.01916,-75.18168,https://www.apartments.com/fallsview-gardens-philadelphia-pa/xk810sq/
4,The Irvine,780 S 52nd St,Philadelphia,PA,19143,"$1,295 – 1,645","$1,575 – 1,795","$2,095 – 2,345","$2,565 – 2,645",39.94624,-75.22589,https://www.apartments.com/the-irvine-philadelphia-pa/61hve9v/
5,Brookview Apartments at Elkins Park,1235 Ashbourne Rd,Elkins Park,PA,19027,NA,"$1,215 – 1,525","$1,600 – 1,765","$1,940 – 2,095",40.06646,-75.11785,https://www.apartments.com/brookview-apartments-at-elkins-park-elkins-park-pa/ked8x69/
6,Lynnewood Gardens,1950 Ashbourne Rd,Elkins Park,PA,19027,NA,"$995 – 1,340","$1,320 – 1,570","$1,800 – 1,975",40.07215,-75.14885,https://www.apartments.com/lynnewood-gardens-elkins-park-pa/7bjgd3y/
7,Colonial Point Apartments,2555 Old Trevose Rd,Feasterville Trevose,PA,19053,"$920 – 1,250","$995 – 1,600","$1,230 – 1,510",NA,40.12211,-74.97351,https://www.apartments.com/colonial-point-apartments-feasterville-trevose-pa/sd0qgc7/
8,Henry on the Park Apartment Homes,7901 Henry Ave,Philadelphia,PA,19128,Call for Rent,"$1,260 – 1,976","$1,375 – 2,373","$1,640 – 2,512",40.05648,-75.2316,https://www.apartments.com/henry-on-the-park-apartment-homes-philadelphia-pa/8fjme23/
9,1200 Washington,1200 Washington Ave,Philadelphia,PA,19147,"$1,375","$1,652 – 1,727","$2,167",NA,39.93716,-75.16334,https://www.apartments.com/1200-washington-philadelphia-pa/3r6jt4d/
10,The Girard,1199 Ludlow St,Philadelphia,PA,19107,NA,"$2,220 – 3,085","$3,285 – 4,675",NA,39.95152,-75.15957,https://www.apartments.com/the-girard-philadelphia-pa/xhslt9m/
